0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,10,10,10,10,9,4,4,0,0,0,0,0,0,0
0,0,0,0,0,8,0,0,0,0,0,4,4,0,0,0,0,0,0,0
0,1,10,10,10,9,4,4,4,4,4,4,4,0,0,0,0,0,0,0
0,8,0,0,0,0,4,4,0,0,3,4,4,0,0,0,0,0,0,0
0,3,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8,4,4,10,10,10,10,10,10,10,10,2,0,0,0
0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,0,0,0
36,38,38,40,0,0,0,8,4,4,4,4,1,10,9,4,4,0,0,0
0,0,0,41,0,0,0,8,4,4,4,4,8,0,0,4,4,0,0,0
0,29,0,0,0,0,0,8,4,4,4,4,3,4,4,4,4,0,0,0
0,29,0,36,38,38,40,8,4,4,4,4,0,0,0,36,38,38,38,38
0,29,0,0,0,0,41,8,4,4,4,4,0,0,0,0,0,0,0,0
0,29,0,0,29,0,0,8,4,4,4,4,0,0,0,0,0,0,29,0
12,32,12,12,32,12,12,11,13,13,13,13,12,12,12,12,12,12,32,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
